,time,packet_rate,bandwidth,response_time,flagged_malicious,fuzzy_compromised_value,fuzzy_compromised_category,compromised_truth
0,-1,0.9034908105485531,26.42838288234908,133.5126436036618,0,0.0,-1,0
1,0,0.8961290696944494,33.90382161950397,127.64084594036589,0,4.675620307555845,-1,0
2,1,0.9149541676406724,26.215427865555526,129.23291784226814,0,4.3197020655324865,-1,0
3,2,0.9014395133896347,30.973094097548582,123.32753157843851,0,4.607854632258974,-1,0
4,3,0.915201637546162,31.802578306166744,140.77002143944097,0,4.362674995915412,-1,0
5,4,0.9312189145743173,29.00408089834563,165.1275198540023,0,1.5749677840330847,-1,0
6,5,0.9011050762236843,27.30184614888379,136.86922001945078,1,4.9492414251773695,-1,0
7,6,0.9170695662810626,32.3728616798217,137.34841116514858,0,4.167335229382733,-1,0
8,7,0.9139121208569038,26.615156747632852,111.33912065241596,0,4.321352945857158,-1,0
9,8,0.9077971722796299,32.58056184453167,145.15622903146863,0,4.8977202724780255,-1,0
10,9,0.894377740347502,28.93091577814217,139.1073873194191,1,4.847276514534576,-1,0
11,10,0.9165467875535848,30.822032970496007,110.62605107885682,0,4.081896825623946,-1,0
12,11,0.9116257142668419,38.24165102873714,119.2089942101858,0,4.531804021431293,-1,0
13,12,0.9106489225575731,27.793563340185376,94.89513255706139,0,4.621264650785407,-1,0
14,13,0.8956861920208993,26.569910207518554,157.90306046594281,1,5.150985079354189,0,0
15,14,0.915028591990553,23.300016207951618,156.66638942094986,0,4.478513637393971,-1,0
16,15,0.9151407305479481,25.582483770834333,164.4433479474274,0,4.523651192313286,-1,0
17,16,0.9090813538550583,28.71910046038337,133.61612136324794,0,4.7645850481660865,-1,0
18,17,0.9116849952633584,30.499711387426938,107.70503245736829,0,4.344090708170066,-1,0
19,18,0.9106803576923103,30.554292471741206,130.06631475819793,0,4.6485319747101395,-1,0
20,19,0.911383483548393,34.86763882712526,135.27858366935718,0,4.629202984082441,-1,0
21,20,0.9033323397345665,27.69375229251744,120.66051589467534,0,4.835544592911736,-1,0
22,21,0.899820659619331,31.554101994402526,148.4329970538485,1,4.979297616711491,-1,0
